molecule,smiles,lambda_hole_eV
3ring_bh2,BC1=C(B)C1=C1C=CC=C1,1.056733
3ring_cn,N#CC1=C(C#N)C1=C1C=CC=C1,1.274904
3ring_nh2,NC1=C(N)C1=C1C=CC=C1,0.797353
3ring_oh,OC1=C(O)C1=C1C=CC=C1,0.961014
5ring_bh2_both,BC1=C(B)C(=C2C=C2)C(B)=C1B,1.405123
5ring_bh2_in,BC1=CC=C(B)C1=C1C=C1,0.918620
5ring_bh2_out,BC1=CC(=C2C=C2)C=C1B,1.457644
5ring_cn_both,N#CC1=C(C#N)C(=C2C=C2)C(C#N)=C1C#N,0.449254
5ring_cn_in,N#CC1=CC=C(C#N)C1=C1C=C1,0.502146
5ring_cn_out,N#CC1=CC(=C2C=C2)C=C1C#N,0.810642
5ring_me_3ring_cf3_in,CC1=CC=C(C)C1=C1C(C(F)(F)F)=C1C(F)(F)F,0.776406
5ring_me_3ring_cn_both,CC1=C(C)C(=C2C(C#N)=C2C#N)C(C)=C1C,0.778649
5ring_me_3ring_cn_in,CC1=CC=C(C)C1=C1C(C#N)=C1C#N,0.733821
5ring_me_3ring_cn_out,CC1=CC(=C2C(C#N)=C2C#N)C=C1C,1.046008
5ring_nh2_3ring_NO,[H]/N=C1\C=C/C(=N\[H])C1=C1C(=N\O)/C1=N/O,1.478661
5ring_nh2_3ring_NO2,NC1=CC=C(N)C1=C1C([N+](=O)[O-])=C1[N+](=O)[O-],1.574798
5ring_nh2_3ring_cn_both,N#CC1=C(C#N)C1=C1C(N)=C(N)C(N)=C1N,1.910660
5ring_nh2_3ring_cn_in,N#CC1=C(C#N)C1=C1C(N)=CC=C1N,1.479146
5ring_nh2_3ring_cn_out,N#CC1=C(C#N)C1=C1C=C(N)C(N)=C1,0.907305
5ring_nh2_both,NC1=C(N)C(=C2C=C2)C(N)=C1N,1.857024
5ring_nh2_in,NC1=CC=C(N)C1=C1C=C1,1.431456
5ring_nh2_out,NC1=CC(=C2C=C2)C=C1N,0.915297
5ring_nme2,CN(C)C1=CC=C(N(C)C)C1=C1C=C1,1.470686
5ring_nme2_3ring_cn_in_con2,CN(C)C1=CC=C(N(C)C)C1=C1C(C#N)=C1C#N,1.501316
5ring_nme2_3ring_nn+,CN(C)C1=CC=C(N(C)C)C1=C1C(N=[N-])=C1[N+]#N,2.428319
5ring_nph3_3ring_CN,N#CC1=C(C#N)C1=C1C(N=[PH3])=CC=C1N=[PH3],2.504640
5ring_npme3,CP(C)(C)=NC1=CC=C(N=P(C)(C)C)C1=C1C=C1,0.955523
5ring_npme3_3ring_CN,CP(C)(C)=NC1=CC=C(N=P(C)(C)C)C1=C1C(C#N)=C1C#N,0.966610
5ring_oh_3ring_bh2_in,BC1=C(B)C1=C1C(O)=CC=C1O,1.537972
5ring_oh_3ring_cf3_sp,OC1=CC=C(O)C1=C1C(C(F)(F)F)=C1C(F)(F)F,1.100219
5ring_oh_3ring_cn_both,N#CC1=C(C#N)C1=C1C(O)=C(O)C(O)=C1O,1.265063
5ring_oh_3ring_cn_in,N#CC1=C(C#N)C1=C1C(O)=CC=C1O,1.057189
5ring_oh_3ring_cn_out,N#CC1=C(C#N)C1=C1C=C(O)C(O)=C1,0.617214
5ring_oh_both,OC1=C(O)C(=C2C=C2)C(O)=C1O,1.191032
5ring_oh_in,OC1=CC=C(O)C1=C1C=C1,0.987746
5ring_oh_out,OC1=CC(=C2C=C2)C=C1O,0.708495
5ring_ome_3ring_cn_in,COC1=CC=C(OC)C1=C1C(C#N)=C1C#N,0.935198
5ring_ome_3ring_cn_out,COC1=CC(=C2C(C#N)=C2C#N)C=C1OC,0.811750
5ring_sh_3ring_cn_in_v2,N#CC1=C(C#N)C1=C1C(S)=CC=C1S,1.434819
CLOFUL,ClC1=C(Cl)C(=C2C(c3ccccc3)=C2c2ccccc2)C(Cl)=C1Cl,0.853091
calicene,C1=CC(=C2C=C2)C=C1,1.106475
cf3_oh_cn_v2,N#CC1=C(C#N)C1=C1C(O)=C(C(F)(F)F)C(C(F)(F)F)=C1O,1.082467
f_oh_cn,N#CC1=C(C#N)C1=C1C(O)=C(F)C(F)=C1O,1.023332
me_oh_cn,CC1=C(O)C(=C2C(C#N)=C2C#N)C(O)=C1C,0.971537
sesqui_5ring_2nh2,NC1=CC=C(N)C1=C1C=CC=CC=C1,1.474034
sesqui_5ring_2nph3,[PH3]=NC1=CC=C(N=[PH3])C1=C1C=CC=CC=C1,1.035825
sesqui_5ring_oh,OC1=CC=C(O)C1=C1C=CC=CC=C1,1.355279
sesqui_5ring_oh_7ring_2cn_in,N#CC1=CC=CC=C(C#N)C1=C1C(O)=CC=C1O,1.576953
sesqui_5ring_oh_7ring_2f_in,OC1=CC=C(O)C1=C1C(F)=CC=CC=C1F,2.120878
sesqui_7ring_2NN+,N#[N+]C1=CC=CC=C(N=[N-])C1=C1C=CC=C1,0.892364
sesqui_7ring_2cn_in,N#CC1=CC=CC=C(C#N)C1=C1C=CC=C1,3.004135
sesquifulvalene,C1=CC=CC(=C2C=CC=C2)C=C1,0.854762
sh_oh_cn,N#CC1=C(C#N)C1=C1C(O)=C(S)C(S)=C1O,1.069918
