molecule,neutral_n_conf,cation_n_conf,triplet_n_conf,neutral_conf,cation_conf,triplet_conf,E_S0_Eh,neutral_method,neutral_log,neutral_normal_term,E_cation_Eh,cation_method,cation_log,cation_normal_term,E_T1opt_Eh,triplet_method,triplet_log,triplet_normal_term,S1_vert_eV,S1_vert_log,T1_vert_eV,T1_vert_log,delta_EST_eV,IP_adiabatic_eV,E_ST_adiabatic_eV,E_S0_at_T1geom_Eh,lambda1_S0_eV,lambda2_T1_eV,lambda_T_total_eV,lambda_h_total_eV,lambda_h_note
3ring_bh2,1,1,1,conf_1,conf_1,conf_1,-359.19548380,RwB97XD,continued_opt.log,True,-358.94309460,UwB97XD,ground.log,True,-359.15839610,UwB97XD,imaginary_corrected.log,True,3.05070000,s0_s1.log,2.71650000,s0_t1.log,0.33420000,6.86785994,1.00920772,,,,,,需要交叉构型单点计算
3ring_cn,1,1,1,conf_1,conf_1,conf_1,-492.77276790,RwB97XD,ground.log,True,-492.48435340,UwB97XD,ground.log,True,-492.72880650,UwB97XD,imaginary_corrected.log,True,,,1.91040000,s0_t1.log,,7.84815829,1.19625062,,,,,,需要交叉构型单点计算
3ring_nh2,2,1,4,conf_1,conf_1,conf_3,-419.06380850,RwB97XD,ground.log,True,-418.83822550,UwB97XD,imaginary_corrected.log,True,-418.97246940,UwB97XD,ground.log,True,4.40320000,s0_s1.log,2.99370000,s0_t1.log,1.40950000,6.13842609,2.48546351,-419.03635741,0.74698218,0.50823649,1.25521867,,需要交叉构型单点计算
3ring_oh,3,3,10,conf_1,conf_1,conf_7,-458.78487120,RwB97XD,ground.log,True,-458.53759900,UwB97XD,ground.log,True,-458.74170000,UwB97XD,ground.log,True,4.32570000,s0_s1.log,2.87610000,s0_t1.log,1.44960000,6.72861928,1.17474819,-458.74758140,1.01470717,1.70135181,2.71605898,,需要交叉构型单点计算
5ring_bh2_both,3,2,7,conf_1,conf_1,conf_3,-410.07510460,RwB97XD,ground.log,True,-409.78785700,UwB97XD,ground.log,True,-410.03974710,UwB97XD,ground.log,True,3.60590000,excited_singlet.log,2.20260000,s0_t1.log,1.40330000,7.81640532,0.96212658,-409.99555290,2.16471202,1.24047342,3.40518544,,需要交叉构型单点计算
5ring_bh2_in,1,1,3,conf_1,conf_1,conf_3,-359.20472860,RwB97XD,ground.log,True,-358.91930970,UwB97XD,ground.log,True,-359.17837110,UwB97XD,ground.log,True,3.62570000,excited_singlet.log,2.11740000,s0_t1.log,1.50830000,7.76664386,0.71722411,-359.16500373,1.08096872,1.40017589,2.48114461,,需要交叉构型单点计算
5ring_bh2_out,1,1,2,conf_1,conf_1,conf_2,-359.19617440,RwB97XD,ground.log,True,-358.91932270,UwB97XD,ground.log,True,-359.15265700,UwB97XD,ground.log,True,3.78680000,s0_s1.log,2.52770000,s0_t1.log,1.25910000,7.53351847,1.18416877,-359.11945410,2.08766564,1.34353123,3.43119687,,需要交叉构型单点计算
5ring_cn_both,1,2,1,conf_1,conf_1,conf_1,-677.28515680,RwB97XD,ground.log,True,-676.94975790,UwB97XD,ground.log,True,-677.25015060,UwB97XD,imaginary_corrected.log,True,3.83720000,s0_s1.log,2.36390000,s0_t1.log,1.47330000,9.12666893,0.95256722,-677.18000000,2.86146228,1.41133278,4.27279505,,需要交叉构型单点计算
5ring_cn_in,1,2,4,conf_1,conf_1,conf_1,-492.81000000,RwB97XD,ground.log,True,-492.51178550,UwB97XD,ground.log,True,-492.77800000,UwB97XD,ground.log,True,3.90290000,s0_s1.log,2.33780000,s0_t1.log,1.56510000,8.11482987,0.87076435,-492.71478960,2.59080695,1.46703565,4.05784259,,需要交叉构型单点计算
5ring_cn_out,1,1,4,conf_1,conf_1,conf_2,-492.80361970,RwB97XD,ground.log,True,-492.50023810,UwB97XD,ground.log,True,-492.75000000,UwB97XD,ground.log,True,4.09590000,s0_s1.log,2.66540000,s0_t1.log,1.43050000,8.25543382,1.45906635,-492.72467491,2.14819710,1.20633365,3.35453075,,需要交叉构型单点计算
5ring_me_3ring_cf3_in,2,3,3,conf_1,conf_1,conf_3,-1061.14939490,RwB97XD,ground.log,True,-1060.89280220,UwB97XD,imaginary_corrected.log,True,-1061.10454440,UwB97XD,ground.log,True,3.63430000,s0_s1.log,2.28390000,s0_t1.log,1.35040000,6.98224300,1.22044427,-1061.08306160,1.80502103,1.06345573,2.86847676,,需要交叉构型单点计算
5ring_me_3ring_cn_both,2,3,2,conf_1,conf_2,conf_1,-650.05988500,RwB97XD,imaginary_corrected.log,True,-649.80383480,UwB97XD,ground.log,True,-650.03198610,UwB97XD,ground.log,True,2.64930000,s0_s1.log,1.70610000,s0_t1.log,0.94320000,6.96748083,0.75916774,-650.01422590,1.24244739,0.94693226,2.18937966,,需要交叉构型单点计算
5ring_me_3ring_cn_in,1,1,1,conf_1,conf_1,conf_1,-571.41661600,RwB97XD,ground.log,True,-571.14988800,UwB97XD,ground.log,True,-571.38614330,UwB97XD,ground.log,True,2.70610000,s0_s1.log,1.85520000,s0_t1.log,0.85090000,7.25803857,0.82920440,-571.37565310,1.11465728,1.02599560,2.14065288,,需要交叉构型单点计算
5ring_me_3ring_cn_out,2,2,2,conf_2,conf_2,conf_2,-571.41721680,RwB97XD,ground.log,True,-571.14058350,UwB97XD,ground.log,True,-571.37913380,UwB97XD,ground.log,True,2.77540000,s0_s1.log,1.75210000,s0_t1.log,1.02330000,7.52757551,1.03629121,-571.38857740,0.77931777,0.71580879,1.49512656,,需要交叉构型单点计算
5ring_nh2_3ring_NO,9,10,8,conf_9,conf_2,conf_4,-677.72846870,RwB97XD,ground.log,True,-677.47842760,UwB97XD,ground.log,True,-677.69451580,UwB97XD,ground.log,True,2.59290000,s0_s1.log,1.20560000,s0_t1.log,1.38730000,6.80396489,0.92390547,-677.70035789,0.76493418,0.28169453,1.04662872,,需要交叉构型单点计算
5ring_nh2_3ring_NO2,1,1,1,conf_1,conf_1,conf_1,-828.06373280,RwB97XD,continued_opt.log,True,-827.81945140,UwB97XD,ground.log,True,-828.07630660,UwB97XD,ground.log,True,,,,,,6.64723547,-0.34215053,-828.02542650,1.04236752,,,,需要交叉构型单点计算
5ring_nh2_3ring_cn_both,5,2,3,conf_1,conf_2,conf_2,-714.22684200,RwB97XD,ground.log,True,-714.01820480,UwB97XD,ground.log,True,-714.23448230,UwB97XD,ground.log,True,2.23910000,s0_s1.log,1.30840000,s0_t1.log,0.93070000,5.67730738,-0.20790315,-714.18602050,1.11080959,1.51630315,2.62711275,,需要交叉构型单点计算
5ring_nh2_3ring_cn_in,1,1,1,conf_1,conf_1,conf_1,-603.49646690,RwB97XD,ground.log,True,-603.27882100,UwB97XD,ground.log,True,-603.50780700,UwB97XD,ground.log,True,1.82730000,s0_s1.log,1.74990000,s0_t1.log,0.07740000,5.92244660,-0.30857984,-603.46105000,0.96374294,2.05847984,3.02222278,,需要交叉构型单点计算
5ring_nh2_3ring_cn_out,2,1,1,conf_1,conf_1,conf_1,-603.50652050,RwB97XD,ground.log,True,-603.25331330,UwB97XD,continued_opt.log,True,-603.48312730,UwB97XD,ground.log,True,2.34230000,s0_s1.log,1.40490000,s0_t1.log,0.93740000,6.89011886,0.63656139,-603.47485000,0.86179820,0.76833861,1.63013681,,需要交叉构型单点计算
5ring_nh2_both,5,2,10,conf_1,conf_2,conf_1,-529.75664100,RwB97XD,ground.log,True,-529.57431150,UwB97XD,imaginary_corrected.log,True,-529.72216070,UwB97XD,ground.log,True,3.71510000,s0_s1.log,2.43190000,s0_t1.log,1.28320000,4.96143840,0.93825675,-529.68666000,1.90428000,1.49364325,3.39792325,,需要交叉构型单点计算
5ring_nh2_in,1,1,4,conf_1,conf_1,conf_2,-419.03215920,RwB97XD,ground.log,True,-418.83912580,UwB97XD,ground.log,True,-418.99855640,UwB97XD,ground.log,True,3.28600000,s0_s1.log,2.11860000,s0_t1.log,1.16740000,5.25270636,0.91437876,,,,,,需要交叉构型单点计算
5ring_nh2_out,2,1,8,conf_1,conf_1,conf_6,-419.03848520,RwB97XD,ground.log,True,-418.81594790,UwB97XD,imaginary_corrected.log,True,-419.00488900,UwB97XD,ground.log,True,3.80110000,s0_s1.log,2.54600000,s0_t1.log,1.25510000,6.05554837,0.91419917,-418.98856567,1.35837955,1.63180083,2.99018038,,需要交叉构型单点计算
