experiment,target,n_seeds,n_mols,MAE_seed_mean,MAE_seed_sd,MAE_seed_sem,RMSE_seed_mean,RMSE_seed_sem,R2_seed_mean,R2_seed_sem,MAE_perMolMedian
E60,loocv_c_hole,5,53,0.422709,0.033372,0.014924,0.636503,0.018571,-0.651967,0.095750,0.413653
E60,loocv_c_triplet,5,49,0.756138,0.048495,0.021688,0.899383,0.016531,-0.458304,0.053335,0.747112
E61,loocv_c_hole,5,53,0.393420,0.006548,0.002929,0.530362,0.007573,-0.143994,0.033270,0.384604
E61,loocv_c_triplet,5,49,0.765795,0.014282,0.006387,0.972353,0.004398,-0.702377,0.015404,0.763015
E62,loocv_c_hole,5,53,0.389398,0.010240,0.004579,0.533420,0.004256,-0.156572,0.018298,0.386140
E62,loocv_c_triplet,5,49,0.787626,0.013382,0.005985,1.010467,0.009116,-0.838897,0.033131,0.783736
E63,loocv_c_hole,5,53,0.368860,0.016426,0.007346,0.512291,0.004207,-0.066780,0.017533,0.368227
E63,loocv_c_triplet,5,49,0.754748,0.016090,0.007196,0.932019,0.008648,-0.564483,0.028895,0.762098
E65,loocv_c_hole,5,53,0.407767,0.022102,0.009884,0.615062,0.013877,-0.540443,0.069835,0.402769
E65,loocv_c_triplet,5,49,0.681991,0.049592,0.022178,0.838749,0.033747,-0.274791,0.102358,0.669873
E66,loocv_c_hole,5,53,0.384173,0.013044,0.005833,0.525617,0.006840,-0.123456,0.029354,0.382012
E66,loocv_c_triplet,5,49,0.670909,0.021530,0.009628,0.845925,0.014666,-0.289906,0.045261,0.659474
E68,loocv_c_hole,5,53,0.385059,0.018535,0.008289,0.526177,0.009653,-0.126606,0.041655,0.382088
E68,loocv_c_triplet,5,49,0.639519,0.028559,0.012772,0.819129,0.011013,-0.208902,0.032594,0.632916
E69,loocv_c_hole,5,53,0.368974,0.012879,0.005760,0.507962,0.008045,-0.049595,0.033426,0.370039
E69,loocv_c_triplet,5,49,0.625320,0.032973,0.014746,0.789898,0.019960,-0.126216,0.056334,0.616195
E70,loocv_c_hole,5,53,0.379116,0.008769,0.003922,0.526055,0.003197,-0.124735,0.013650,0.377252
E70,loocv_c_triplet,5,49,0.785719,0.013535,0.006053,0.965721,0.005294,-0.679296,0.018306,0.778514
E71,loocv_c_hole,5,53,0.375663,0.006377,0.002852,0.513912,0.006083,-0.073854,0.025465,0.373634
E71,loocv_c_triplet,5,49,0.652723,0.024794,0.011088,0.825900,0.011639,-0.229056,0.034107,0.653603
