target,reference,compared_to,n_mols,mae_ref_perMolMedian,mae_other_perMolMedian,mae_diff,ci_low,ci_high,ref_wins,ref_loses,ties,wilcoxon_stat,wilcoxon_p
loocv_c_hole,E66,E60,53,0.382012,0.413653,-0.031640,-0.115873,0.050193,25,28,0,653.0000,0.580060
loocv_c_hole,E66,E61,53,0.382012,0.384604,-0.002592,-0.043057,0.038165,27,26,0,701.0000,0.897860
loocv_c_hole,E66,E62,53,0.382012,0.386140,-0.004128,-0.054488,0.043433,28,25,0,690.0000,0.821399
loocv_c_hole,E66,E63,53,0.382012,0.368227,0.013785,-0.022630,0.047349,23,30,0,570.0000,0.197719
loocv_c_hole,E66,E65,53,0.382012,0.402769,-0.020757,-0.099486,0.056907,28,25,0,681.0000,0.760046
loocv_c_hole,E66,E68,53,0.382012,0.382088,-0.000076,-0.017296,0.018101,30,23,0,650.0000,0.562012
loocv_c_hole,E66,E69,53,0.382012,0.370039,0.011973,-0.019003,0.042537,26,27,0,626.0000,0.428173
loocv_c_hole,E66,E70,53,0.382012,0.377252,0.004760,-0.034706,0.041515,23,30,0,653.0000,0.580060
loocv_c_hole,E71,E66,53,0.373634,0.382012,-0.008379,-0.026955,0.009201,31,22,0,625.0000,0.423030
loocv_c_hole,E71,E63,53,0.373634,0.368227,0.005407,-0.027990,0.039116,24,29,0,656.0000,0.598375
loocv_c_hole,E71,E70,53,0.373634,0.377252,-0.003619,-0.041224,0.033317,27,26,0,693.0000,0.842116
loocv_c_triplet,E66,E60,49,0.659474,0.747112,-0.087638,-0.232017,0.053396,28,21,0,475.0000,0.174485
loocv_c_triplet,E66,E61,49,0.659474,0.763015,-0.103542,-0.224296,0.012279,31,18,0,411.0000,0.044884
loocv_c_triplet,E66,E62,49,0.659474,0.783736,-0.124262,-0.258529,0.002385,30,19,0,411.0000,0.044884
loocv_c_triplet,E66,E63,49,0.659474,0.762098,-0.102625,-0.208644,0.007449,32,17,0,408.0000,0.041704
loocv_c_triplet,E66,E65,49,0.659474,0.669873,-0.010399,-0.141602,0.116064,27,22,0,593.0000,0.851431
loocv_c_triplet,E66,E68,49,0.659474,0.632916,0.026558,0.000418,0.054415,17,32,0,430.0000,0.069990
loocv_c_triplet,E66,E69,49,0.659474,0.616195,0.043279,-0.000055,0.090417,21,28,0,477.0000,0.180933
loocv_c_triplet,E66,E70,49,0.659474,0.778514,-0.119041,-0.225169,-0.009139,35,14,0,409.0000,0.042742
loocv_c_triplet,E71,E66,49,0.653603,0.659474,-0.005870,-0.042987,0.029735,23,26,0,603.0000,0.929312
loocv_c_triplet,E71,E63,49,0.653603,0.762098,-0.108495,-0.210883,-0.001956,32,17,0,392.0000,0.027738
loocv_c_triplet,E71,E70,49,0.653603,0.778514,-0.124911,-0.222541,-0.021381,33,16,0,381.0000,0.020627
