table,claim,field,paper,recomputed,abs_diff,tol,verdict,note
table2,E60 Local-only / C-hole,MAE_mean,0.4227,0.422709,0.000009,0.001,PASS,5-seed mean of per-seed MAE
table2,E60 Local-only / C-hole,MAE_sem,0.0149,0.014924,0.000024,0.001,PASS,
table2,E60 Local-only / C-hole,RMSE_mean,0.6365,0.636503,0.000003,0.001,PASS,
table2,E60 Local-only / C-hole,RMSE_sem,0.0186,0.018571,0.000029,0.001,PASS,
table2,E60 Local-only / C-hole,R2_mean,-0.6520,-0.651967,0.000033,0.001,PASS,
table2,E60 Local-only / C-triplet,MAE_mean,0.7561,0.756138,0.000038,0.001,PASS,5-seed mean of per-seed MAE
table2,E60 Local-only / C-triplet,MAE_sem,0.0217,0.021688,0.000012,0.001,PASS,
table2,E60 Local-only / C-triplet,RMSE_mean,0.8994,0.899383,0.000017,0.001,PASS,
table2,E60 Local-only / C-triplet,RMSE_sem,0.0165,0.016531,0.000031,0.001,PASS,
table2,E60 Local-only / C-triplet,R2_mean,-0.4583,-0.458304,0.000004,0.001,PASS,
table2,E61 FedAvg / C-hole,MAE_mean,0.3934,0.393420,0.000020,0.001,PASS,5-seed mean of per-seed MAE
table2,E61 FedAvg / C-hole,MAE_sem,0.0029,0.002929,0.000029,0.001,PASS,
table2,E61 FedAvg / C-hole,RMSE_mean,0.5304,0.530362,0.000038,0.001,PASS,
table2,E61 FedAvg / C-hole,RMSE_sem,0.0076,0.007573,0.000027,0.001,PASS,
table2,E61 FedAvg / C-hole,R2_mean,-0.1440,-0.143994,0.000006,0.001,PASS,
table2,E61 FedAvg / C-triplet,MAE_mean,0.7658,0.765795,0.000005,0.001,PASS,5-seed mean of per-seed MAE
table2,E61 FedAvg / C-triplet,MAE_sem,0.0064,0.006387,0.000013,0.001,PASS,
table2,E61 FedAvg / C-triplet,RMSE_mean,0.9724,0.972353,0.000047,0.001,PASS,
table2,E61 FedAvg / C-triplet,RMSE_sem,0.0044,0.004398,0.000002,0.001,PASS,
table2,E61 FedAvg / C-triplet,R2_mean,-0.7024,-0.702377,0.000023,0.001,PASS,
table2,E62 FedProx / C-hole,MAE_mean,0.3894,0.389398,0.000002,0.001,PASS,5-seed mean of per-seed MAE
table2,E62 FedProx / C-hole,MAE_sem,0.0046,0.004579,0.000021,0.001,PASS,
table2,E62 FedProx / C-hole,RMSE_mean,0.5334,0.533420,0.000020,0.001,PASS,
table2,E62 FedProx / C-hole,RMSE_sem,0.0043,0.004256,0.000044,0.001,PASS,
table2,E62 FedProx / C-hole,R2_mean,-0.1566,-0.156572,0.000028,0.001,PASS,
table2,E62 FedProx / C-triplet,MAE_mean,0.7876,0.787626,0.000026,0.001,PASS,5-seed mean of per-seed MAE
table2,E62 FedProx / C-triplet,MAE_sem,0.0060,0.005985,0.000015,0.001,PASS,
