severity,file,line,snippet,claim,paper_value,recomputed_value,note
OK,paper/manuscript.md,13,"On a five-node federation (A: QM9 non-aromatic, n = 6,020; B: QM9 aromatic, n = 9,190; C-hole: in-house TADF, n = 53; C-triplet: in-house TADF, n = 49; D: Atahan-Evrenk 2019, n = 5,876) evaluated by five-seed leave-one-out cross-validation,",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/manuscript.md,186,"**On C-triplet (n = 49 LOOCV)**, PC²-FedReorg achieves MAE = 0.660 eV, lower than FedAvg (0.763 eV), FedProx (0.784 eV) and FedPer (0.762 eV) by approximately 13–16 % relative. Paired Wilcoxon signed-rank tests on per-molecule absolute erro",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/manuscript.md,242,"**(vi) Reported p-values are nominal and should not be over-claimed.** All p-values in this manuscript are unadjusted paired Wilcoxon signed-rank values on per-molecule absolute errors, where the paired sample unit is each individual molecu",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/manuscript.md,202,"- **E71 vs. PC²-FedReorg (E66):** ΔMAE = −0.006 eV (PC²-FedReorg minus E71: +0.006 eV); bootstrap 95% CI (−0.044, +0.029); per-molecule wins 23 vs. 26; paired Wilcoxon p = 0.929 (n.s.). E71's effect size is well within seed-SEM, the CI stra",E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
OK,paper/manuscript.md,218,"The combined picture: among the four PC² components inspected here, the task-specific calibration carries the only ablation-detectable signal, and the targeted E71 control above reaches a C-triplet MAE that is not statistically distinguisha",E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
OK,paper/manuscript.md,202,"- **E71 vs. PC²-FedReorg (E66):** ΔMAE = −0.006 eV (PC²-FedReorg minus E71: +0.006 eV); bootstrap 95% CI (−0.044, +0.029); per-molecule wins 23 vs. 26; paired Wilcoxon p = 0.929 (n.s.). E71's effect size is well within seed-SEM, the CI stra",E71 vs E66 triplet wins/losses,23/26,23/26,exact match
OK,paper/manuscript.md,203,"- **E71 vs. FedPer (E63):** ΔMAE = −0.109 eV; bootstrap 95% CI (−0.208, −0.010); per-molecule wins 32 vs. 17; paired Wilcoxon p = 0.028 (nominal). Adding the per-task-client (μ, σ) buffer to a plain FedPer baseline therefore reproduces, wit",E71 vs E63 triplet wins/losses,32/17,32/17,exact match
OK,paper/manuscript.md,204,"- **E71 vs. PC²-FedReorg without calibration (E70):** ΔMAE = −0.125 eV; bootstrap 95% CI (−0.224, −0.027); per-molecule wins 33 vs. 16; paired Wilcoxon p = 0.021 (nominal). Stripping calibration out of the full PC² architecture is more harm",E71 vs E70 triplet wins/losses,33/16,33/16,exact match
OK,paper/manuscript.md,188,"**On C-hole (n = 53 LOOCV)**, all evaluated methods produce MAE in a narrow band of 0.368–0.414 eV (Figure 4 left, Table 2). The eight paired comparisons we performed all return p ≥ 0.20 after rounding (Table 3); the bootstrap CIs straddle ",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/manuscript.md,240,"**(v) C-hole shows no method separation at the present sample size.** All federated methods evaluated in this study — FedAvg, FedProx, FedPer, PC²-FedReorg, E70, E71 and the local-only baseline — produce C-hole MAEs in a narrow 0.368–0.414 ",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/manuscript.md,276,"On a five-node organic-electronics federation, the method achieves nominally significant MAE reductions on triplet-reorganization-energy prediction over FedAvg, FedProx and FedPer (paired Wilcoxon p = 0.042–0.045; Figure 4, Table 3) while r",C-hole MAE band 0.368–0.414,0.368-0.414,0.3682-0.4137,|Δ|=0.00023 ≤ tol=0.001 | |Δ|=0.00035 ≤ tol=0.001
OK,paper/latex/main.tex,90,"On a five-node federation (A: QM9 non-aromatic, $n=6{,}020$; B: QM9 aromatic, $n=9{,}190$; C-hole: in-house TADF, $n=53$; C-triplet: in-house TADF, $n=49$; D: Atahan-Evrenk 2019, $n=5{,}876$) evaluated by five-seed leave-one-out cross-valid",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/latex/main.tex,306,"\paragraph{On C-triplet ($n=49$ LOOCV)} \PC{} achieves MAE $=$ \SI{0.660}{\eV}, lower than FedAvg (\SI{0.763}{\eV}), FedProx (\SI{0.784}{\eV}) and FedPer (\SI{0.762}{\eV}) by approximately 13--16\,\% relative. Paired Wilcoxon signed-rank te",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/latex/main.tex,365,"\paragraph{(vi) Reported p-values are nominal and should not be over-claimed.} All p-values in this manuscript are unadjusted paired Wilcoxon signed-rank values on per-molecule absolute errors, where the paired sample unit is each individua",E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/latex/main.tex,448,\caption[Main performance comparison]{Main performance comparison. Mean absolute error (eV) for five federated methods evaluated by 5-seed leave-one-out cross-validation on \textbf{(left)} C-hole ($n = 53$) and \textbf{(right)} C-triplet ($,E66 vs FedAvg/FedProx/FedPer triplet p,0.045/0.045/0.042,0.044884/0.044884/0.041704,|Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00012 ≤ tol=0.001 | |Δ|=0.00030 ≤ tol=0.001
OK,paper/latex/main.tex,323,"\item \textbf{E71 vs.\ \PC{} (E66):} $\Delta$MAE $= -0.006$~eV (\PC{} minus E71: $+0.006$~eV); bootstrap 95\,\% CI $(-0.044, +0.029)$; per-molecule wins 23 vs.\ 26; paired Wilcoxon $p = 0.929$ (n.s.). E71's effect size is well within seed-S",E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
OK,paper/latex/main.tex,340,"The combined picture: among the four PC$^2$ components inspected here, the task-specific calibration carries the only ablation-detectable signal, and the targeted E71 control above reaches a C-triplet MAE that is not statistically distingui",E71 vs E66 triplet paired Wilcoxon p,0.929,0.929312,|Δ|=0.00031 ≤ tol=0.001
