claim_id,raw_value,display_forms_searched,found_in_main_or_manuscript,found_in_SI_md_or_tex,found_in_docx,severity,note
phase1_cal_vs_fp_dmae,0.010106359869241714,+0.010 | + 0.010 | +0.0101,True,True,True,OK,all required surfaces matched
phase1_cal_vs_fp_p,0.7309722689902687,0.73 | 0.731 | 0.7310,True,True,True,OK,all required surfaces matched
phase1_cal_vs_fedavg_dmae,-0.043123874068260196,−0.043 | -0.043 | -0.0431,False,True,True,OK,all required surfaces matched
phase1_cal_vs_fedavg_p,0.007784802463816209,0.008 | 0.0078,True,True,True,OK,all required surfaces matched
phase1_local_mae,0.30895087122917175,0.309,False,True,True,OK,all required surfaces matched
phase1_local_sem,0.009588115607129211,0.010 | 0.0096,True,True,True,OK,all required surfaces matched
phase2_improvement,"(9, 10)",9 of 10 | 9/10 | 9 / 10,True,True,True,OK,all required surfaces matched
phase2_median_dmae,-0.01983447700738907,−0.020 | -0.020 | −0.0198,True,True,True,OK,all required surfaces matched
phase2_iqr_low,-0.030042168796062467,−0.030 | -0.030 | −0.0300,False,True,True,OK,all required surfaces matched
phase2_iqr_high,-0.013324440121650696,−0.013 | -0.013 | −0.0133,False,True,True,OK,all required surfaces matched
phase2_sig_count,7,7 of 10 | 7/10 | 7 / 10,True,True,True,OK,all required surfaces matched
