seed,source_client,label_scale_ratio_vs_target
42,S2_scale2,1.6866930220323113
42,S3_shrink,0.45490361497851123
42,S4_scale3,2.7842545529228326
42,S5_noise,1.0078968640288881
123,S2_scale2,1.859351282955361
123,S3_shrink,0.47586963201848004
123,S4_scale3,2.5440924567487895
123,S5_noise,1.0090433580764695
456,S2_scale2,1.7417651168654023
456,S3_shrink,0.43770246278037
456,S4_scale3,2.8014134327306017
456,S5_noise,0.7951357532941056
789,S2_scale2,2.099951220924377
789,S3_shrink,0.44746729830287685
789,S4_scale3,2.652774024662423
789,S5_noise,0.9386479543391081
1000,S2_scale2,1.8236193879971634
1000,S3_shrink,0.44617870968132306
1000,S4_scale3,3.166131745081408
1000,S5_noise,0.9681323833568666
