experiment_id,phase,seed,pseudo_task_id,method,target,fold,n_train,n_test,label_transform,MAE,RMSE,R2,elapsed_sec
label_scale_stress,phase1,42,S1_target,local,S1_target,0,80,20,identity,0.24034445,0.31516162,-0.17940915,3.396317481994629
label_scale_stress,phase1,42,S1_target,local,S1_target,1,80,20,identity,0.2846774,0.4137491,-0.359447,1.7226290702819824
label_scale_stress,phase1,42,S1_target,local,S1_target,2,80,20,identity,0.33470544,0.47033775,0.09214783,1.7151849269866943
label_scale_stress,phase1,42,S1_target,local,S1_target,3,80,20,identity,0.2640564,0.31450838,-1.2827189,1.710313081741333
label_scale_stress,phase1,42,S1_target,local,S1_target,4,80,20,identity,0.50456077,0.63886315,-1.2671497,1.7807531356811523
label_scale_stress,phase1,42,S1_target,fedavg_no_cal,S1_target,0,80,20,identity,0.34609997,0.39270157,-0.8311465,15.97119951248169
label_scale_stress,phase1,42,S1_target,fedavg_no_cal,S1_target,1,80,20,identity,0.33263892,0.35830593,-0.019520879,15.8510262966156
label_scale_stress,phase1,42,S1_target,fedavg_no_cal,S1_target,2,80,20,identity,0.30314437,0.3938722,0.3633421,15.853092193603516
label_scale_stress,phase1,42,S1_target,fedavg_no_cal,S1_target,3,80,20,identity,0.24800058,0.2803023,-0.81318164,15.634504079818726
label_scale_stress,phase1,42,S1_target,fedavg_no_cal,S1_target,4,80,20,identity,0.45390958,0.4888306,-0.32733715,15.7867112159729
label_scale_stress,phase1,42,S1_target,fedper,S1_target,0,80,20,identity,0.19643639,0.26439452,0.16995293,15.773783922195435
label_scale_stress,phase1,42,S1_target,fedper,S1_target,1,80,20,identity,0.25742096,0.302555,0.27306288,15.770123720169067
label_scale_stress,phase1,42,S1_target,fedper,S1_target,2,80,20,identity,0.25376806,0.36261815,0.4603719,15.768541812896729
label_scale_stress,phase1,42,S1_target,fedper,S1_target,3,80,20,identity,0.18693027,0.24145624,-0.34544158,15.729444026947021
label_scale_stress,phase1,42,S1_target,fedper,S1_target,4,80,20,identity,0.28320903,0.36016402,0.27944833,15.89694857597351
label_scale_stress,phase1,42,S1_target,fedper_cal,S1_target,0,80,20,identity,0.36645028,0.43407643,-1.2373312,15.783309936523438
label_scale_stress,phase1,42,S1_target,fedper_cal,S1_target,1,80,20,identity,0.42078424,0.5089985,-1.0574117,16.059956550598145
label_scale_stress,phase1,42,S1_target,fedper_cal,S1_target,2,80,20,identity,0.24382672,0.33612987,0.53632927,16.022090911865234
label_scale_stress,phase1,42,S1_target,fedper_cal,S1_target,3,80,20,identity,0.20132282,0.2667097,-0.6415932,15.948853492736816
label_scale_stress,phase1,42,S1_target,fedper_cal,S1_target,4,80,20,identity,0.30992725,0.38475016,0.17771554,16.028311729431152
label_scale_stress,phase1,123,S1_target,local,S1_target,0,80,20,identity,0.33919623,0.40039876,-0.66156983,1.7919931411743164
label_scale_stress,phase1,123,S1_target,local,S1_target,1,80,20,identity,0.29994053,0.3878586,-0.45653057,1.7692906856536865
label_scale_stress,phase1,123,S1_target,local,S1_target,2,80,20,identity,0.28210673,0.40518323,0.054725528,1.8221471309661865
label_scale_stress,phase1,123,S1_target,local,S1_target,3,80,20,identity,0.32982364,0.42409423,-0.004203081,1.7500064373016357
label_scale_stress,phase1,123,S1_target,local,S1_target,4,80,20,identity,0.2713359,0.3815125,0.439578,1.7232789993286133
