seed,method,MAE_mean_over_folds,MAE_std_over_folds,RMSE_mean_over_folds,R2_mean_over_folds,n_folds
42,local,0.32566890120506287,0.10587802529335022,0.43052396178245544,-0.599315345287323,5
42,fedavg_no_cal,0.33675870299339294,0.07555872946977615,0.3828025162220001,-0.3255687952041626,5
42,fedper,0.23555293679237366,0.041759345680475235,0.3062375783920288,0.16747888922691345,5
42,fedper_cal,0.3084622621536255,0.08893480151891708,0.3861329257488251,-0.4444582462310791,5
123,local,0.3044806122779846,0.02944154664874077,0.39980944991111755,-0.12559999525547028,5
123,fedavg_no_cal,0.3810344338417053,0.06897422671318054,0.4342421889305115,-0.22802552580833435,5
123,fedper,0.36564797163009644,0.15148407220840454,0.4795348048210144,-0.9210457801818848,5
123,fedper_cal,0.36073052883148193,0.06364911049604416,0.4606918394565582,-0.581699013710022,5
456,local,0.3175564706325531,0.052403781563043594,0.4448429048061371,-0.2697202265262604,5
456,fedavg_no_cal,0.32796889543533325,0.08565319329500198,0.40541180968284607,0.06108938530087471,5
456,fedper,0.4849446713924408,0.1790297031402588,0.6058834791183472,-1.4379525184631348,5
456,fedper_cal,0.38142403960227966,0.1440335363149643,0.49761295318603516,-0.5277001261711121,5
789,local,0.32350093126296997,0.06649714708328247,0.429142564535141,-0.4705016613006592,5
789,fedavg_no_cal,0.35627982020378113,0.03403621166944504,0.41268080472946167,-0.34518593549728394,5
789,fedper,0.3275936245918274,0.11249217391014099,0.4144955575466156,-0.3952440321445465,5
789,fedper_cal,0.37658482789993286,0.16738620400428772,0.4506548047065735,-1.1494240760803223,5
1000,local,0.2735474407672882,0.051305197179317474,0.3599681258201599,-0.20787720382213593,5
1000,fedavg_no_cal,0.3089596629142761,0.03466979041695595,0.3701949715614319,-0.39883551001548767,5
1000,fedper,0.37378990650177,0.21360976994037628,0.4561384618282318,-2.2281088829040527,5
1000,fedper_cal,0.2738141715526581,0.08542448282241821,0.3771573305130005,-0.5393077731132507,5
