model,target,seed,mae,rmse,r2,sec
RF,hole,42,0.407160672075472,0.5687099800785461,-0.31433361981191776,35.46059727668762
GP,hole,42,0.39653731520270546,0.5319431398428277,-0.1498848251053424,4.505683898925781
KNN,hole,42,0.36735993387365445,0.5205689230516425,-0.10123598374115117,0.06759262084960938
XGB,hole,42,0.47210985638197417,0.6462256139743313,-0.6970406820775314,22.97567129135132
RF,hole,123,0.41423220841509467,0.5802421559040729,-0.36817759431630837,34.654218912124634
GP,hole,123,0.39653731520270546,0.5319431398428277,-0.1498848251053424,2.2444491386413574
KNN,hole,123,0.36735993387365445,0.5205689230516425,-0.10123598374115117,0.06697726249694824
XGB,hole,123,0.4621250485102096,0.6368801878469506,-0.6483119068848207,26.161335706710815
RF,hole,456,0.40715173886792466,0.5706120642358588,-0.3231400550685857,34.461634397506714
GP,hole,456,0.39653731520270546,0.5319431398428277,-0.1498848251053424,2.1963891983032227
KNN,hole,456,0.36735993387365445,0.5205689230516425,-0.10123598374115117,0.06618475914001465
XGB,hole,456,0.4619479603014532,0.6445139508348678,-0.68806265649209,25.29679274559021
RF,hole,789,0.4093535142641511,0.5762780745373225,-0.3495473001575964,34.49453043937683
GP,hole,789,0.39653731520270546,0.5319431398428277,-0.1498848251053424,2.207533597946167
KNN,hole,789,0.36735993387365445,0.5205689230516425,-0.10123598374115117,0.0662384033203125
XGB,hole,789,0.4775036208619892,0.6539681807899785,-0.7379495035934474,26.204769372940063
RF,hole,1000,0.4039680575094342,0.568898230502415,-0.31520388697784174,34.34648108482361
GP,hole,1000,0.39653731520270546,0.5319431398428277,-0.1498848251053424,2.2271816730499268
KNN,hole,1000,0.36735993387365445,0.5205689230516425,-0.10123598374115117,0.06604480743408203
XGB,hole,1000,0.47348777054228874,0.6480523783167237,-0.7066487045499945,24.74017596244812
RF,triplet,42,0.5523947703363268,0.7113460934067567,0.08896731933476487,31.68734097480774
GP,triplet,42,0.592103103006191,0.7608002274472642,-0.04210942149526686,1.712026596069336
KNN,triplet,42,0.637128146491129,0.7873551703505642,-0.11612650660978407,0.060822248458862305
XGB,triplet,42,0.5892553890669718,0.7279455280030054,0.04595289178953388,22.906580686569214
RF,triplet,123,0.5448860526061233,0.7070468310389255,0.09994631364943107,31.88288164138794
GP,triplet,123,0.592103103006191,0.7608002274472642,-0.04210942149526686,1.673628330230713
KNN,triplet,123,0.637128146491129,0.7873551703505642,-0.11612650660978407,0.06021475791931152
XGB,triplet,123,0.5709038901517471,0.7075169038779017,0.09874913287785458,22.809700965881348
RF,triplet,456,0.5496500925187755,0.7127187791645329,0.08544788427320504,31.687386751174927
GP,triplet,456,0.592103103006191,0.7608002274472642,-0.04210942149526686,1.6813387870788574
KNN,triplet,456,0.637128146491129,0.7873551703505642,-0.11612650660978407,0.06036019325256348
XGB,triplet,456,0.584538880824423,0.7188251570151192,0.06970949037660312,22.86876368522644
RF,triplet,789,0.5582668015359185,0.7179095466786994,0.07207791366971705,31.596158266067505
GP,triplet,789,0.592103103006191,0.7608002274472642,-0.04210942149526686,1.6695067882537842
KNN,triplet,789,0.637128146491129,0.7873551703505642,-0.11612650660978407,0.06050682067871094
XGB,triplet,789,0.5910743910238088,0.7262709807823515,0.050337174229734716,22.086782217025757
RF,triplet,1000,0.5537104928979593,0.7181576336348039,0.07143648149255377,32.29805874824524
GP,triplet,1000,0.592103103006191,0.7608002274472642,-0.04210942149526686,1.7115390300750732
KNN,triplet,1000,0.637128146491129,0.7873551703505642,-0.11612650660978407,0.06072044372558594
XGB,triplet,1000,0.5846784822010149,0.7176448241331514,0.0727621129781233,24.33634042739868
