exp_id,desc,encoder,fed_strategy,MAE_A,R2_A,MAE_B,R2_B,MAE_C,R2_C,MAE_Dh,R2_Dh,MAE_Dt,R2_Dt,time_s
E1,Local_A GIN+MLP,GIN,None,0.2157±0.0158,0.5230±0.0588,,,,,,,,,78.0
E2,Local_B GIN+MLP,GIN,None,,,0.1223±0.0106,0.6856±0.0532,,,,,,,240.4
E3,Local_D GIN+MLP,GIN,None,,,,,,,0.4351,-0.6402,0.8922,-1.1209,82.9
E7,Local_A GIN+KAN,GIN,None,0.1706±0.0115,0.6834±0.0264,,,,,,,,,167.8
E9,Local_D GIN+KAN,GIN,None,,,,,,,0.4103,-0.6766,0.7923,-0.6787,242.9
E10,FedAvg GIN+MLP,GIN,FedAvg,0.1812±0.0088,0.6597±0.0342,0.1022±0.0033,0.7885±0.0148,,,0.4607,-0.5071,0.8614,-1.2427,978.3
E14,FedPer GIN+KAN,GIN,FedPer,0.1425±0.0069,0.7767±0.0142,0.0780±0.0018,0.8647±0.0095,,,0.3684,-0.1075,0.7556,-0.6105,1292.7
E15,FedPer+FedBN GIN+KAN,GIN,FedBN,0.1505±0.0097,0.7499±0.0283,0.0808±0.0049,0.8535±0.0178,,,0.3583,0.0279,0.7555,-0.6138,1309.5
E16,FedPer+AtomMask GIN+KAN,GIN,FedPer+SSL,0.1614±0.0050,0.7264±0.0112,0.0868±0.0017,0.8391±0.0101,,,0.3585,-0.0854,0.7397,-0.5646,1426.2
E17,FedPer+EdgePred GIN+KAN,GIN,FedPer+SSL,0.1584±0.0062,0.7281±0.0224,0.0901±0.0025,0.8235±0.0109,,,0.3651,-0.0574,0.7500,-0.6247,3035.7
E18,FedPer+GraphCL GIN+KAN,GIN,FedPer+SSL,0.1449±0.0042,0.7692±0.0146,0.0805±0.0011,0.8530±0.0094,,,0.4009,-0.2584,0.7529,-0.6638,1419.0
E30,Local_C GIN+KAN,GIN,None,,,,,0.0096±0.0014,0.8436±0.0525,,,,,339.8
E32,FedBN 4-Client GIN+KAN,GIN,FedBN,0.1578±0.0065,0.7292±0.0234,0.0917±0.0045,0.8071±0.0146,0.0106±0.0007,0.8334±0.0406,0.3665,-0.0309,0.6365,-0.1978,1405.1
E40,FedBN 4-Client + 11D phys,GIN,FedBN,0.1548±0.0043,0.7290±0.0220,0.0907±0.0042,0.8114±0.0188,0.0099±0.0006,0.8491±0.0437,0.3949,-0.1420,0.6545,-0.1858,1543.4
E50,Local_D SchNet+KAN,SchNet,None,,,,,,,0.3891,-0.5434,0.6660,-0.2577,437.0
E51,FedAvg SchNet+KAN,SchNet,FedAvg,0.1597±0.0026,0.7037±0.0085,0.0902±0.0034,0.7754±0.0230,0.0078±0.0016,0.8572±0.0534,0.3035,0.1806,0.8482,-1.0260,4377.0
E52,FedPer SchNet+KAN,SchNet,FedPer,0.1596±0.0020,0.7034±0.0135,0.0903±0.0029,0.7784±0.0197,0.0074±0.0019,0.8788±0.0444,0.2877,0.1386,0.6806,-0.4385,4389.2
