molecule,smiles,y_true,y_pred_gin,y_pred_schnet,error_gin,error_schnet,n_rotatable,n_aromatic,mol_weight,n_heavy_atoms
3ring_bh2,BC1=C(B)C1=C1C=CC=C1,1.0567,1.1951,0.8193,0.1384,0.2374,0,0,125.8,10
3ring_cn,N#CC1=C(C#N)C1=C1C=CC=C1,1.2749,1.0572,1.2128,0.2177,0.0621,0,0,152.2,12
3ring_nh2,NC1=C(N)C1=C1C=CC=C1,0.7974,1.2917,0.6792,0.4943,0.1182,0,0,132.2,10
3ring_oh,OC1=C(O)C1=C1C=CC=C1,0.961,1.1673,1.1023,0.2063,0.1413,0,0,134.1,10
5ring_bh2_both,BC1=C(B)C(=C2C=C2)C(B)=C1B,1.4051,1.1168,1.1526,0.2883,0.2525,0,0,149.4,12
5ring_bh2_in,BC1=CC=C(B)C1=C1C=C1,0.9186,1.2111,1.412,0.2925,0.4934,0,0,125.8,10
5ring_bh2_out,BC1=CC(=C2C=C2)C=C1B,1.4576,1.0759,1.2275,0.3818,0.2302,0,0,125.8,10
5ring_cn_both,N#CC1=C(C#N)C(=C2C=C2)C(C#N)=C1C#N,0.4493,1.3188,0.2519,0.8695,0.1973,0,0,202.2,16
5ring_cn_in,N#CC1=CC=C(C#N)C1=C1C=C1,0.5021,1.0715,0.9289,0.5694,0.4267,0,0,152.2,12
5ring_cn_out,N#CC1=CC(=C2C=C2)C=C1C#N,0.8106,0.988,0.7168,0.1773,0.0939,0,0,152.2,12
5ring_me_3ring_cf3_in,CC1=CC=C(C)C1=C1C(C(F)(F)F)=C1C(F)(F)F,0.7764,1.1475,0.9413,0.3711,0.1649,0,0,266.2,18
5ring_me_3ring_cn_both,CC1=C(C)C(=C2C(C#N)=C2C#N)C(C)=C1C,0.7786,1.2353,0.9111,0.4566,0.1325,0,0,208.3,16
5ring_me_3ring_cn_in,CC1=CC=C(C)C1=C1C(C#N)=C1C#N,0.7338,1.1189,0.8073,0.385,0.0735,0,0,180.2,14
5ring_me_3ring_cn_out,CC1=CC(=C2C(C#N)=C2C#N)C=C1C,1.046,1.1096,0.5999,0.0636,0.4461,0,0,180.2,14
5ring_nh2_3ring_NO,[H]/N=C1\C=C/C(=N\[H])C1=C1C(=N\O)/C1=N/O,1.4787,1.3076,1.5227,0.1711,0.0441,0,0,190.2,14
5ring_nh2_3ring_NO2,NC1=CC=C(N)C1=C1C([N+](=O)[O-])=C1[N+](=O)[O-],1.5748,1.5469,1.1363,0.0279,0.4385,2,0,222.2,16
5ring_nh2_3ring_cn_both,N#CC1=C(C#N)C1=C1C(N)=C(N)C(N)=C1N,1.9107,1.7336,1.9163,0.1771,0.0056,0,0,212.2,16
5ring_nh2_3ring_cn_in,N#CC1=C(C#N)C1=C1C(N)=CC=C1N,1.4791,1.2901,1.3452,0.189,0.1339,0,0,182.2,14
5ring_nh2_3ring_cn_out,N#CC1=C(C#N)C1=C1C=C(N)C(N)=C1,0.9073,1.302,0.8636,0.3947,0.0437,0,0,182.2,14
5ring_nh2_both,NC1=C(N)C(=C2C=C2)C(N)=C1N,1.857,1.5392,1.953,0.3178,0.0959,0,0,162.2,12
5ring_nh2_in,NC1=CC=C(N)C1=C1C=C1,1.4315,1.1994,1.553,0.232,0.1216,0,0,132.2,10
5ring_nh2_out,NC1=CC(=C2C=C2)C=C1N,0.9153,1.2236,1.5423,0.3084,0.627,0,0,132.2,10
5ring_nme2,CN(C)C1=CC=C(N(C)C)C1=C1C=C1,1.4707,1.1767,1.6938,0.294,0.2231,2,0,188.3,14
5ring_nme2_3ring_cn_in_con2,CN(C)C1=CC=C(N(C)C)C1=C1C(C#N)=C1C#N,1.5013,1.315,1.589,0.1863,0.0877,2,0,238.3,18
5ring_nme2_3ring_nn+,CN(C)C1=CC=C(N(C)C)C1=C1C(N=[N-])=C1[N+]#N,2.4283,1.3084,1.4374,1.1199,0.9909,3,0,242.3,18
5ring_nph3_3ring_CN,N#CC1=C(C#N)C1=C1C(N=[PH3])=CC=C1N=[PH3],2.5046,1.2321,1.5607,1.2726,0.9439,2,0,246.2,16
5ring_npme3,CP(C)(C)=NC1=CC=C(N=P(C)(C)C)C1=C1C=C1,0.9555,1.3727,0.9903,0.4172,0.0348,2,0,280.3,18
5ring_npme3_3ring_CN,CP(C)(C)=NC1=CC=C(N=P(C)(C)C)C1=C1C(C#N)=C1C#N,0.9666,1.7872,0.9566,0.8206,0.0101,2,0,330.3,22
5ring_oh_3ring_bh2_in,BC1=C(B)C1=C1C(O)=CC=C1O,1.538,1.2585,1.0869,0.2795,0.4511,0,0,157.8,12
5ring_oh_3ring_cf3_sp,OC1=CC=C(O)C1=C1C(C(F)(F)F)=C1C(F)(F)F,1.1002,1.1329,1.3588,0.0327,0.2586,0,0,270.1,18
5ring_oh_3ring_cn_both,N#CC1=C(C#N)C1=C1C(O)=C(O)C(O)=C1O,1.2651,1.3178,1.1015,0.0527,0.1636,0,0,216.2,16
5ring_oh_3ring_cn_in,N#CC1=C(C#N)C1=C1C(O)=CC=C1O,1.0572,1.0969,0.9429,0.0397,0.1143,0,0,184.2,14
5ring_oh_3ring_cn_out,N#CC1=C(C#N)C1=C1C=C(O)C(O)=C1,0.6172,1.1179,1.0438,0.5006,0.4266,0,0,184.2,14
5ring_oh_both,OC1=C(O)C(=C2C=C2)C(O)=C1O,1.191,1.1091,1.2276,0.0819,0.0366,0,0,166.1,12
5ring_oh_in,OC1=CC=C(O)C1=C1C=C1,0.9877,1.1675,1.0628,0.1797,0.075,0,0,134.1,10
5ring_oh_out,OC1=CC(=C2C=C2)C=C1O,0.7085,1.1393,0.9101,0.4308,0.2016,0,0,134.1,10
5ring_ome_3ring_cn_in,COC1=CC=C(OC)C1=C1C(C#N)=C1C#N,0.9352,1.2092,0.9894,0.274,0.0542,2,0,212.2,16
5ring_ome_3ring_cn_out,COC1=CC(=C2C(C#N)=C2C#N)C=C1OC,0.8118,1.2827,0.8942,0.4709,0.0825,2,0,212.2,16
5ring_sh_3ring_cn_in_v2,N#CC1=C(C#N)C1=C1C(S)=CC=C1S,1.4348,1.1638,1.1789,0.271,0.2559,0,0,216.3,14
CLOFUL,ClC1=C(Cl)C(=C2C(c3ccccc3)=C2c2ccccc2)C(Cl)=C1Cl,0.8531,1.2788,0.4745,0.4258,0.3786,2,2,392.1,24
calicene,C1=CC(=C2C=C2)C=C1,1.1065,1.0532,1.2742,0.0533,0.1677,0,0,102.1,8
cf3_oh_cn_v2,N#CC1=C(C#N)C1=C1C(O)=C(C(F)(F)F)C(C(F)(F)F)=C1O,1.0825,1.4154,1.3679,0.333,0.2855,0,0,320.1,22
f_oh_cn,N#CC1=C(C#N)C1=C1C(O)=C(F)C(F)=C1O,1.0233,1.0938,0.8697,0.0705,0.1536,0,0,220.1,16
me_oh_cn,CC1=C(O)C(=C2C(C#N)=C2C#N)C(O)=C1C,0.9715,1.26,0.9882,0.2884,0.0167,0,0,212.2,16
sesqui_5ring_2nh2,NC1=CC=C(N)C1=C1C=CC=CC=C1,1.474,1.4695,1.2308,0.0045,0.2433,0,0,184.2,14
sesqui_5ring_2nph3,[PH3]=NC1=CC=C(N=[PH3])C1=C1C=CC=CC=C1,1.0358,1.4937,1.8258,0.4579,0.79,2,0,248.2,16
sesqui_5ring_oh,OC1=CC=C(O)C1=C1C=CC=CC=C1,1.3553,1.3337,1.3094,0.0216,0.0459,0,0,186.2,14
sesqui_5ring_oh_7ring_2cn_in,N#CC1=CC=CC=C(C#N)C1=C1C(O)=CC=C1O,1.577,1.5098,2.4446,0.0671,0.8677,0,0,236.2,18
sesqui_5ring_oh_7ring_2f_in,OC1=CC=C(O)C1=C1C(F)=CC=CC=C1F,2.1209,1.2329,1.1692,0.888,0.9517,0,0,222.2,16
sesqui_7ring_2NN+,N#[N+]C1=CC=CC=C(N=[N-])C1=C1C=CC=C1,0.8924,1.7761,1.5115,0.8837,0.6191,1,0,208.2,16
sesqui_7ring_2cn_in,N#CC1=CC=CC=C(C#N)C1=C1C=CC=C1,3.0041,1.125,1.2733,1.8791,1.7309,0,0,204.2,16
sesquifulvalene,C1=CC=CC(=C2C=CC=C2)C=C1,0.8548,1.2462,1.6079,0.3915,0.7531,0,0,154.2,12
