scheme,group,n,GIN_R2,GIN_MAE,SchNet_R2,SchNet_MAE
A_donor_fraction,Low DA (donor_frac<0.200),26,-0.15716185189503595,0.38120384615384617,-0.054864269299156776,0.35357692307692307
A_donor_fraction,High DA (donor_frac>=0.200),27,0.08488686731110906,0.3522888888888889,0.3996150779470432,0.25530740740740737
B_n_rings,Simple (n_rings<=3),52,-0.02757279933785939,0.3653346153846154,0.1832326940885025,0.30207115384615385
B_n_rings,Complex (n_rings>=4),1,,,,
C_charge_range,Low polar (charge_range<0.478),26,-0.11587830126486942,0.44153846153846155,0.17059561233751952,0.3515153846153846
C_charge_range,High polar (charge_range>=0.478),27,0.10536137016907621,0.29418888888888894,0.19396021995250623,0.2572925925925926
D_n_cyano,No CN (n_cyano=0),28,-0.054240371851879576,0.32827499999999993,-0.09225554791734769,0.32806785714285713
D_n_cyano,Has CN (n_cyano>=1),25,-0.02189825170869475,0.409256,0.3325298476638495,0.276016
E_size_flexibility,"Small rigid (HA<14, rot=0)",18,0.12588535823615543,0.28005,0.03678423835087419,0.25473888888888885
E_size_flexibility,"Small flex (HA<14, rot>=1)",0,,,,
E_size_flexibility,"Large rigid (HA>=14, rot=0)",23,0.050429081570690704,0.33615652173913046,0.1851846046946436,0.2977304347826087
E_size_flexibility,"Large flex (HA>=14, rot>=1)",12,-0.3629096638587921,0.5542166666666667,0.15724174193294238,0.38776666666666676
F_n_nitrogen,No N (n_N=0),16,-0.004490979670323414,0.2789375,-0.2547164544044844,0.302475
F_n_nitrogen,Low N (n_N=1-2),25,-0.07702706662703229,0.34119999999999995,-0.023966335760857715,0.30544000000000004
F_n_nitrogen,High N (n_N>=3),12,-0.27790571055605096,0.5358416666666667,0.41009172775295044,0.30089166666666667
G_fraction_csp3,Low sp3 (fCSP3<0.000),0,,,,
G_fraction_csp3,High sp3 (fCSP3>=0.000),53,-0.030925809190822884,0.3664735849056604,0.18062163201374692,0.3035150943396226
H_bertz_ct,Low complexity (BertzCT<483),25,0.13071698972630919,0.286224,-0.09887720094094887,0.29435199999999995
H_bertz_ct,High complexity (BertzCT>=483),28,-0.10471462908081541,0.43812499999999993,0.26894903560087113,0.31169642857142854
