filter,n,SchNet_R2,SchNet_MAE,GIN_R2,GIN_MAE
DA>=0.25 & rot=0,13,0.8519113115054419,0.11725384615384617,0.3171853122881131,0.2582923076923077
n_cyano>=1 & DA>=0.25,13,0.6621208945087782,0.18678461538461535,0.08687541633320628,0.36956923076923076
n_cyano>=2 & DA>=0.25,13,0.6621208945087782,0.18678461538461535,0.08687541633320628,0.36956923076923076
DA>=0.2 & DA>=0.25,19,0.514534237687857,0.2449105263157895,0.049013066982078524,0.38982631578947374
DA>=0.25,19,0.514534237687857,0.2449105263157895,0.049013066982078524,0.38982631578947374
DA>=0.25 & TPSA_hi,19,0.514534237687857,0.2449105263157895,0.049013066982078524,0.38982631578947374
DA>=0.25 & has_5ring,19,0.514534237687857,0.2449105263157895,0.049013066982078524,0.38982631578947374
DA>=0.25 & n_het>=4,19,0.514534237687857,0.2449105263157895,0.049013066982078524,0.38982631578947374
n_N>=2 & DA>=0.25,18,0.5139689359548518,0.25648333333333334,0.04861902015047481,0.40693333333333337
n_N>=1 & DA>=0.25,18,0.5139689359548518,0.25648333333333334,0.04861902015047481,0.40693333333333337
n_cyano>=2 & DA>=0.2,15,0.4875210109400574,0.22556666666666664,0.13831692480615176,0.3371933333333334
n_cyano>=1 & DA>=0.2,15,0.4875210109400574,0.22556666666666664,0.13831692480615176,0.3371933333333334
DA>=0.25 & bertz_hi,17,0.4850380391035297,0.26592352941176467,0.007393268205790782,0.4121764705882353
DA>=0.25 & HA>=14,17,0.4850380391035297,0.26592352941176467,0.007393268205790782,0.4121764705882353
n_cyano>=2 & TPSA_hi,17,0.4751267153674814,0.21640588235294114,-0.04774038163480765,0.3653764705882353
n_cyano>=1 & TPSA_hi,17,0.4751267153674814,0.21640588235294114,-0.04774038163480765,0.3653764705882353
n_cyano>=1 & n_het>=4,18,0.4664928522124191,0.21860000000000002,-0.05056878092785655,0.3601333333333334
n_cyano>=2 & n_het>=4,18,0.4664928522124191,0.21860000000000002,-0.05056878092785655,0.3601333333333334
DA>=0.2 & rot=0,20,0.45959694391152195,0.18383,0.25505648663563185,0.26383
n_N>=3 & no_O,10,0.4545650457249595,0.31282,-0.27294179142666697,0.62311
TPSA_hi & no_O,14,0.4328478540960842,0.3027214285714286,-0.17658147915139644,0.5193071428571429
DA>=0.2 & no_O,12,0.4215785804196306,0.332075,-0.08432800279517139,0.5371
DA>=0.25 & chrg_hi,16,0.41721187306693286,0.21350000000000002,0.05950528695113222,0.30918125
n_N>=3 & TPSA_hi,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
n_N>=3 & n_het>=4,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
n_N>=3 & has_5ring,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
n_N>=2 & n_N>=3,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
n_N>=1 & n_N>=3,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
n_N>=3,12,0.41009172775295044,0.30089166666666667,-0.27790571055605096,0.5358416666666667
DA>=0.25 & has_O,11,0.4046825121895564,0.1475272727272727,0.06885354526598242,0.19840909090909092
DA>=0.2,27,0.3996150779470432,0.25530740740740737,0.08488686731110906,0.3522888888888889
DA>=0.2 & has_5ring,27,0.3996150779470432,0.25530740740740737,0.08488686731110906,0.3522888888888889
rot=0 & TPSA_hi,19,0.3991878244110496,0.1993263157894737,0.26410799623988546,0.2524789473684211
TPSA_hi & n_het>=4,23,0.3965762254706623,0.2566956521739131,-0.044595706101618005,0.3832043478260869
n_cyano>=1 & no_O,15,0.3956235276056598,0.3095799999999999,-0.045746682406289096,0.5286466666666667
n_cyano>=2 & no_O,15,0.3956235276056598,0.3095799999999999,-0.045746682406289096,0.5286466666666667
DA>=0.2 & n_het>=4,21,0.3945147927565317,0.26707619047619047,0.06169335090868178,0.3647714285714286
n_N>=3 & HA>=14,11,0.3920426097488222,0.3195181818181818,-0.297432221096225,0.5556636363636364
n_N>=3 & bertz_hi,11,0.3920426097488222,0.3195181818181818,-0.297432221096225,0.5556636363636364
no_O & n_het>=4,16,0.3863074828818279,0.31280624999999995,-0.18734384891899336,0.52889375
DA>=0.2 & TPSA_hi,24,0.3665025620929332,0.2698041666666667,0.05989404772406959,0.36228750000000004
n_N>=3 & DA>=0.25,10,0.36640564286757393,0.35130000000000006,-0.19864118539782294,0.54232
n_N>=1 & DA>=0.2,23,0.36593571967183236,0.27994347826086957,0.05980768681950954,0.3744782608695652
n_N>=2 & DA>=0.2,23,0.36593571967183236,0.27994347826086957,0.05980768681950954,0.3744782608695652
n_N>=3 & DA>=0.2,11,0.3647904482285791,0.32733636363636365,-0.20676558047204252,0.5099545454545455
bertz_hi & n_het>=4,26,0.3637779255247481,0.2640076923076923,-0.09352256428048378,0.3819884615384615
bertz_hi & TPSA_hi,21,0.361450566242682,0.2748285714285715,-0.08960550785307331,0.40066666666666656
TPSA_hi & has_5ring,27,0.36131541765424535,0.2597740740740741,-0.03729722388179457,0.36492222222222215
TPSA_hi,27,0.36131541765424535,0.2597740740740741,-0.03729722388179457,0.36492222222222215
DA>=0.2 & HA>=14,19,0.36102042212391294,0.2882105263157895,0.026306426407143202,0.38213157894736843
DA>=0.2 & bertz_hi,19,0.36102042212391294,0.2882105263157895,0.026306426407143202,0.38213157894736843
n_N>=1 & TPSA_hi,26,0.36095005264363067,0.26835769230769235,-0.037185145801779784,0.3758076923076923
n_N>=2 & TPSA_hi,26,0.36095005264363067,0.26835769230769235,-0.037185145801779784,0.3758076923076923
bertz_hi & n_het>=6,12,0.3605788297411784,0.2959416666666666,-0.08556330555420955,0.3878000000000001
has_5ring & n_het>=6,12,0.3605788297411784,0.2959416666666666,-0.08556330555420955,0.3878000000000001
n_het>=4 & n_het>=6,12,0.3605788297411784,0.2959416666666666,-0.08556330555420955,0.3878000000000001
n_het>=6,12,0.3605788297411784,0.2959416666666666,-0.08556330555420955,0.3878000000000001
HA>=14 & n_het>=6,12,0.3605788297411784,0.2959416666666666,-0.08556330555420955,0.3878000000000001
chrg_hi & n_het>=6,10,0.35744233103627443,0.25973999999999997,0.2643834326893627,0.25605
HA>=14 & TPSA_hi,22,0.3558803575838735,0.27339090909090913,-0.08142088429325,0.38265909090909084
n_cyano>=2 & chrg_lo,11,0.3405604213455955,0.39752727272727273,-0.10962150557752448,0.6347818181818181
n_cyano>=1 & chrg_lo,11,0.3405604213455955,0.39752727272727273,-0.10962150557752448,0.6347818181818181
n_N>=1 & n_cyano>=2,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_cyano>=1 & n_cyano>=2,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_cyano>=2 & has_5ring,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_cyano>=1 & has_5ring,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_N>=1 & n_cyano>=1,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_N>=2 & n_cyano>=2,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_N>=2 & n_cyano>=1,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_cyano>=2,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
n_cyano>=1,25,0.3325298476638495,0.276016,-0.02189825170869475,0.409256
rot>=1 & bertz_hi,10,0.3111006033160705,0.36401,-0.32354060590033984,0.58987
n_N>=1 & n_het>=4,25,0.30268387215843795,0.277924,-0.0870550939157384,0.395116
n_N>=2 & n_het>=4,25,0.30268387215843795,0.277924,-0.0870550939157384,0.395116
bertz_hi & no_O,15,0.3025951837505939,0.38197999999999993,-0.20723019071093596,0.6489400000000001
n_cyano>=2 & HA>=14,22,0.299862999787486,0.2871681818181818,-0.05816491737626417,0.42122272727272725
n_cyano>=1 & HA>=14,22,0.299862999787486,0.2871681818181818,-0.05816491737626417,0.42122272727272725
rot=0 & n_het>=4,21,0.29839064494405965,0.2386666666666666,0.2178502093161503,0.2804047619047619
n_cyano>=1 & bertz_hi,20,0.29834923255453816,0.28990499999999997,-0.08185157973848534,0.44090999999999997
n_cyano>=2 & bertz_hi,20,0.29834923255453816,0.28990499999999997,-0.08185157973848534,0.44090999999999997
DA>=0.2 & chrg_hi,21,0.2879297671084091,0.22806190476190474,0.1266060878703118,0.28653809523809526
n_N>=2 & no_O,25,0.28602568544032825,0.3403,-0.09405067573927717,0.4983760000000001
