tsne_1,tsne_2,client,smiles
-45.717983,8.998729,Client A,C#CC1CC(=N)N1C=O
-39.358006,17.715233,Client A,CC1CCC(=O)C(=O)O1
-71.54619,-3.5439885,Client A,C#CC(C)C1(C=O)CO1
-52.143658,23.174725,Client A,CC1(C=O)COC(=O)N1
-33.555458,4.3788733,Client A,O=CC1=CC2NC2C1=O
-65.54718,-10.959638,Client A,N#CCC1(C#N)CNC1
-59.280132,-1.0170472,Client A,N#CC#CC1COC=N1
-53.330574,-0.12981819,Client A,N#CC1CO1
-60.456673,8.25527,Client A,C#CC#CCCC1CO1
-54.268562,-2.9166288,Client A,C#CCC1NCC1C#N
-25.576067,23.027721,Client A,CC1C(=O)C=C(N)C1=O
-36.82178,8.205617,Client A,C#CC1CNC(C=O)=N1
-38.80215,-10.063392,Client A,C#CC1=CC(C=O)CC1
-29.136667,3.5328233,Client A,C#CC1=CCOC(=N)C1
-61.35864,-5.7721453,Client A,N#CC#CC1(C#N)CO1
-55.49063,-6.5858803,Client A,N#CC1CC2CC12C#N
-57.23547,-12.73409,Client A,N#CC1(O)C=CCC1
13.45008,-16.697834,Client A,c1cc2cncc-2no1
-29.532331,16.534698,Client A,N=C1OCC(=O)CO1
-54.275806,-16.7493,Client A,N#CCC1CN=COC1
-61.610703,-9.971101,Client A,N#CC1(C=O)CCOC1
-20.011866,8.948539,Client A,O=C1NC=CNC(=O)N1
-40.026516,-15.914208,Client A,N#CC1=CCC2OC12
-48.82953,19.062895,Client A,CC1OC(C=O)C1=O
-19.603762,-0.8224599,Client A,N=C1C=CC(C(N)=O)O1
-46.38836,1.2336793,Client A,N#CC1CCC(=O)C1O
-70.5185,-6.2158484,Client A,C#CC1(C(C)C#N)CN1
-37.353756,15.333523,Client A,C#CC(O)C1COC1=O
-47.86097,-1.0872144,Client A,N#CC1CCCC(=O)C1
-25.992102,18.911816,Client A,N=C1CC(=O)C=CCO1
-45.151836,-1.5733197,Client A,N#CC1CNCCC1=O
-50.401546,-7.9678493,Client A,C#CC1C=CC(C#N)N1
-51.652344,14.337305,Client A,CC#CC1C=CC(C)O1
-47.27263,-1.6532065,Client A,N#CC1CC(=O)CCN1
-71.10511,-0.19919993,Client A,N#CC1(C(N)=O)CN1
-24.815199,16.98202,Client A,CC1(O)C=CC(=O)OC1
12.170028,-9.583975,Client A,c1cc2nc[nH+][n-]c-2n1
-63.4143,-9.891245,Client A,N#CC1(CNC=O)CC1
-60.232704,-15.663385,Client A,CC1(C#N)CN=COC1
-35.644474,16.319086,Client A,O=C1OCOC(=O)C1=O
-44.20975,16.997116,Client A,C#CC1OCCCC1=O
-39.31393,-0.1737937,Client A,C#CC1(C#C)CC(=O)C1
-30.366762,8.102997,Client A,C#CC1=CCCCC1=O
-27.84449,11.359874,Client A,O=C1CC(=O)C(=O)CN1
-45.785423,20.472485,Client A,O=CC1COCC(=O)O1
-32.949314,-3.8476002,Client A,C#CC1=C(C)CCOC1
-68.90188,2.274444,Client A,CC1(CC(=O)C#N)CO1
-51.34606,20.459206,Client A,CC1OC(=O)C1(C)C=O
-49.63097,-10.855446,Client A,COC1C=CC(C#N)O1
-24.860895,-4.5046806,Client A,N#CC1=CC=CC=CC1
-31.954182,14.733492,Client A,C#CC(=N)N1CCC1=O
-52.534733,-5.2527943,Client A,CCN1C(C#N)C1C#N
-33.941128,25.839357,Client A,O=CC1=CC(O)CC1=O
-35.038223,-8.2575245,Client A,C#CC1=CC(=NC)OC1
-23.87146,-1.796284,Client A,C1#CCC=CCCC=C1
-24.642744,3.464323,Client A,N#CC1=CC(=N)NC1=O
-55.288433,19.025166,Client A,C#CC1NC1(C=O)C=O
-39.775738,-3.058483,Client A,CC1(C#N)CNC(=O)C1
-6.283456,28.766489,Client A,NC(=O)N1C=NCC1=O
-47.38857,-7.7632723,Client A,C#CC#CC1NC1C#C
-44.376614,-21.001192,Client A,N#CCC1=NCCO1
-35.54593,-3.8181422,Client A,C#CC1=C(C)C(O)CC1
-22.051126,17.283205,Client A,CC1CC=CC1=O
-37.738197,-9.29702,Client A,C#CC1=CC(C)CC1
-21.64664,21.072538,Client A,O=CC1C=CC(=NO)C1
-49.865852,16.007284,Client A,CC#CC1OC(=O)C1C
-26.526571,-3.245141,Client A,N#CC(=N)N1C=CCC1
-32.494553,26.49431,Client A,O=C1C=CC=CC(O)C1
-25.305693,12.072958,Client A,NC1=CC(=O)C(=O)C1
-51.26053,-10.439761,Client A,CC1C=CCC1C#N
-47.3517,-7.7828274,Client A,C#CC1NC1C(F)(F)F
-30.323986,8.806184,Client A,O=CC1=CCCCC1=O
-35.823063,13.023503,Client A,CC1NC(=O)C(=O)C1O
-20.265472,25.73847,Client A,O=CN1C=NCCC1=O
-42.282234,8.6485615,Client A,C#CC1NC(=O)NC1C
-34.837357,12.479012,Client A,O=C1NC(=O)C(O)C1O
-59.66934,-5.854215,Client A,CN1CC1(C)C#CC#N
-40.130608,-2.615442,Client A,CC1(C#N)CC(=O)CN1
-42.650208,13.720855,Client A,C#CCC1OCCC1=O
-41.689034,-9.807872,Client A,N#CC1C=C(C=O)CC1
12.981877,-17.026068,Client A,c1nc2cncc-2co1
-28.096258,5.5635967,Client A,N=C1OCC=C1C(N)=O
-64.0746,10.763056,Client A,N#CCC#CC1CCC1
-39.176468,6.408209,Client A,C#CC1CC=CNC1=O
-27.441442,23.234594,Client A,COC1OC(=O)C=C1C
-30.197546,9.832674,Client A,O=CC1=CCCNC1=O
-43.811897,3.9899907,Client A,N#CC1C(=O)NCC1O
-36.880066,4.0200496,Client A,CC1C(=O)NC=C1C#N
-47.099888,10.073082,Client A,C#CC1CC(=N)O1
-47.806515,9.358479,Client A,C#CC1COC(=N)C1O
-67.10849,-0.135858,Client A,CC(=O)C1(C#N)CCC1
-31.010828,-9.9046955,Client A,CN1CC=C(C#N)C1=O
-66.17578,13.455346,Client A,CNC(=O)C#CC1CO1
-19.376255,11.348138,Client A,CC1=CC(=O)NC1=O
-60.92308,-9.963271,Client A,N#CC1(C=O)CC=CC1
-66.69127,-0.23223515,Client A,C#CC1(C(C)=O)CC1
-37.493885,20.03403,Client A,CC1=NC(CO)C(=O)O1
-32.739765,-3.870117,Client A,CC1=C(C#N)COCC1
-70.49678,-6.0858054,Client A,C#CC(O)C1(C#C)CN1
-46.582684,21.683302,Client A,O=CC1=NCC(C=O)O1
-49.32848,14.98643,Client A,CC#CC1=NCC(C)O1
-64.73637,-3.179471,Client A,C#CC1(C#CC)CC1C
-63.33449,16.121536,Client A,CC#CC(=O)N1CC1
-60.654423,5.0828986,Client A,C#CC1OC1C(N)=O
-66.06176,5.9384723,Client A,CC1OCC1C(=O)C#N
-61.105377,-15.437339,Client A,CC1(C#N)CCOC=N1
-39.170624,-10.399483,Client A,N#CC1=CC(C=O)CC1
-61.144043,-9.65942,Client A,N#CC1(C=O)CC1
-69.01588,1.7086368,Client A,N#CC(=O)C1(CO)CO1
-34.32194,12.828313,Client A,O=C1NCC(O)C(=O)N1
-65.25552,-11.883545,Client A,CC1(CC#N)CC=CC1
-57.829693,13.40134,Client A,O=CC#CC1CN1C=O
-68.08404,-1.9574561,Client A,C#CC1(C(=O)CO)CO1
-52.90279,-12.069132,Client A,CC1C=CC(C#N)C1O
-29.860266,11.002375,Client A,O=C1C=CCCNC1=O
-64.899956,0.21624945,Client A,C#CC1OC1(C)C(N)=O
-67.4581,1.328373,Client A,C#CC(=O)C1(C)CC1
-20.576138,3.695763,Client A,CC1=CCOCC1=O
-59.634724,10.118906,Client A,C#CC#CCC1CC1
-41.536903,7.654177,Client A,C#CC1CC(=O)C(=O)N1
-22.46803,13.297378,Client A,CC1=CC(=O)CC1
-29.295315,20.15871,Client A,CC1(O)CC(=O)OC1=N
-27.843145,18.047674,Client A,N=C1CNC=CC(=O)O1
-68.64224,-4.9560156,Client A,C#CC1(C#CCO)CN1
-55.4742,2.9401178,Client A,C#CCC1CC(C=O)O1
-20.103857,14.40208,Client A,CC1=CNCC=CC1=O
-25.777603,9.012449,Client A,O=CC1=NCC(=O)N1
-19.51667,7.1536903,Client A,CC1=CC=CCNC1=O
-44.594162,15.021627,Client A,C#CC1CC(=O)CCO1
-22.845675,6.81268,Client A,O=C1C=C(CO)NC1=O
-53.432896,1.1669778,Client A,N#CC1CN=C(N)O1
-51.75942,12.7447,Client A,CC#CC1CC=CCO1
-71.07744,-0.20060365,Client A,C#CC(=O)C1(C#N)CN1
-61.5495,14.608638,Client A,O=CC(=O)C1CC1
-38.11716,17.40193,Client A,CC1COC(=O)C1=O
-47.261032,8.6639185,Client A,C#CC1COC(=N)N1
-56.316742,0.00491092,Client A,C#CCC(C#N)C1CO1
-38.85486,-1.0351305,Client A,C#CC1(C)CC(=O)N1
-42.886677,6.7127156,Client A,C#CC(=O)C1CC(=O)N1
-34.39605,13.713008,Client A,O=C1NC(=O)C(O)CO1
-51.701065,2.7648838,Client A,N#CC1C=CC(=N)OC1
-27.163277,0.3970573,Client A,O=CC1(C=O)C=CCN1
-32.154163,18.425262,Client A,CC1OC(=N)CC1=O
-45.94581,-13.279103,Client A,N#CC12OC1C=CC2=O
-58.17979,-6.2227693,Client A,CC(C#CC#N)N1CC1
-24.596415,3.595485,Client A,C#CC1=CC(=N)NC1=O
-32.17305,25.623388,Client A,O=C1CC=CC(O)C1
-26.2445,23.172968,Client A,CC1OC(=O)C=C1N
-52.939587,19.976316,Client A,CC1(C=O)OC1C=O
-27.128328,12.755468,Client A,N=C1CC(=N)NC(=O)N1
-49.898457,9.929968,Client A,C#CC1OC(=N)C(C)O1
-34.78858,-2.341275,Client A,C#CC1=C(C)CC(=O)C1
-25.824903,9.103774,Client A,CC1=NCC(=O)N1
-27.14527,11.106293,Client A,O=C1CC(=O)NC(=O)C1
-67.04851,-7.8254237,Client A,C#CCC1(C#C)CCC1
-53.637947,4.3556833,Client A,CC1=NC(CC#N)CO1
-41.375385,9.552714,Client A,C#CC1C(=O)NCC1C
-50.55444,-7.88478,Client A,N#CC1C=CC(C#N)N1
-37.293385,-9.459544,Client A,CC1C=C(CC#N)CC1
-23.196535,14.012842,Client A,O=C1C=C(CO)CC1
-22.705866,7.0384254,Client A,O=C1CC=C(CO)N1
-24.785011,-2.811236,Client A,C1=CC=CCC=C1
-44.89274,17.809074,Client A,O=CC1OCCCC1=O
-62.14079,12.592881,Client A,O=CCC#CC1CC1
-54.060402,-4.3298416,Client A,C#CCN1CCC1C#N
-60.89517,-15.369288,Client A,CC1(C#N)COC=N1
-26.777994,9.840695,Client A,O=C1CN=COC(=O)N1
-24.934557,-0.5006629,Client A,O=CC1=CC=CCCC1
-52.220757,22.073769,Client A,CC1(C=O)OCC1=O
-62.887486,-3.060438,Client A,C#CC1CC1(C=O)CO
-26.353813,12.897118,Client A,N=C1CC(N)=CC(=O)N1
-55.294285,2.4180567,Client A,N#CC1CC(C=O)O1
-62.96717,3.5397336,Client A,C#CC#CC1CC(O)C1
-59.471706,-0.91717464,Client A,OCC#CC1COC=N1
-47.30899,17.988585,Client A,N=C1NC(=N)C(C=O)O1
